date,sales_rep,product,units,price,total_sales,city
1/1/2013,Isabel  Cross ,    Nestle Aero Mint Potz,4,495,1980,Ranchi
1/2/2013,Cecilia  Manning , Nestle Smarties Pop-Up,2,438,876,Trivandrum
1/2/2013,Isabel  Cross ,   Nestle Maxibon Cookie,1,426,426,Ranchi
1/2/2013,Shari  Silva ,      Nestle Maxibon Cookie,2,260,520,Mysore
1/2/2013,Trevor  Jones ,   Nestle Toffee Crumble,4,285,1140,Pune
1/3/2013,Trevor  Jones ,    Nestle Toffee Crumble,2,206,412,Pune
1/3/2013,Trevor  Jones ,       Nestle Fab,3,222,666,Pune
1/4/2013,Max  Rodgers ,        Nestle Milky Bar Stick,15,458,6870,Nagpur
1/4/2013,Ruben  Nunez ,       Nestle Rowntree Fruit Pastil,2,304,608,Shimla
1/4/2013,Salvador  Bass ,  Nestle Rowntree Fruit Pastil,2,224,448,Goa
1/4/2013,Rachel  Gomez ,        Nestle Kit Kat Cone,2,318,636,Delhi
1/4/2013,Christina  Fuller ,        Nestle Fab,2,165,330,Nagpur
1/4/2013,Andrew  Meyer ,  Nestle Aero Mint Potz,6,167,1002,Mumbai
1/5/2013,Don  Gonzales ,     Nestle Toffee Crumble,4,431,1724,Mysore
1/5/2013,Ruben  Nunez ,  Nestle Fab,3,342,1026,Srinagar
1/5/2013,Shari  Silva ,      Nestle Rowntree Fruit Pastil,2,180,360,Mysore
1/5/2013,Herman  Williams , Nestle Fab,1,435,435,Darjeeling
1/5/2013,Ruben  Nunez , Nestle Smarties Pop-Up,19,193,3667,Ahmedabad
1/5/2013,Beth  Tucker ,       Nestle Rowntree Fruit Pastil,3,437,1311,Pune
1/5/2013,Marian  Hill ,        Nestle Toffee Crumble,2,298,596,Trivandrum
1/5/2013,Carla  Mccormick , Nestle Smarties Pop-Up,1,247,247,Varanasi
1/5/2013,Brooke  Horton ,   Nestle Smarties Pop-Up,2,271,542,Nainital
1/5/2013,Bethany  Pena , Nestle Rolo Potz,3,297,891,Nagpur
1/6/2013,Rachel  Gomez ,  Nestle Rolo Potz,2,253,506,Delhi
1/6/2013,Sylvester  Morales ,       Nestle Smarties Pop-Up,1,298,298,Mumbai
1/7/2013,Kyle  Carr ,       Nestle Rowntree Fruit Pastil,2,292,584,Delhi
1/7/2013,Salvador  Bass ,    Nestle Kit Kat Cone,1,491,491,Goa
1/7/2013,Trevor  Jones ,      Nestle Rowntree Fruit Pastil,2,401,802,Pune
1/7/2013,Brooke  Horton ,     Nestle Rolo Potz,2,255,510,Nainital
