Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,
Date,SalesRep,Product,Units,Price,Total Sales,City
1/1/2013,Isabel  Cross (903),    Nestle Aero Mint Potz,400%,495.00000000,1980,Ranchi_East
1/2/2013,Cecilia  Manning (403), Nestle Smarties Pop-Up,200%,438.00000000,876,Trivandrum_South
1/2/2013,Isabel  Cross (705),   Nestle Maxibon Cookie,100%,426.00000000,426,Ranchi_East
1/2/2013,Shari  Silva (321),      Nestle Maxibon Cookie,200%,260.00000000,520,Mysore_South
1/2/2013,Trevor  Jones (802),   Nestle Toffee Crumble,400%,285.00000000,1140,Pune_West
1/3/2013,Trevor  Jones (182),    Nestle Toffee Crumble,200%,206.00000000,412,Pune_West
1/3/2013,Trevor  Jones (318),       Nestle Fab,300%,222.00000000,666,Pune_West
1/4/2013,Max  Rodgers (986),        Nestle Milky Bar Stick,1500%,458.00000000,6870,Nagpur_West
1/4/2013,Ruben  Nunez (514),       Nestle Rowntree Fruit Pastil,200%,304.00000000,608,Shimla_North
1/4/2013,Salvador  Bass (818),  Nestle Rowntree Fruit Pastil,200%,224.00000000,448,Goa_West
1/4/2013,Rachel  Gomez (974),        Nestle Kit Kat Cone,200%,318.00000000,636,Delhi_North
1/4/2013,Christina  Fuller (944),        Nestle Fab,200%,165.00000000,330,Nagpur_West
1/4/2013,Andrew  Meyer (998),  Nestle Aero Mint Potz,600%,167.00000000,1002,Mumbai_West
1/5/2013,Don  Gonzales (804),     Nestle Toffee Crumble,400%,431.00000000,1724,Mysore_South
1/5/2013,Ruben  Nunez (284),  Nestle Fab,300%,342.00000000,1026,Srinagar_North
1/5/2013,Shari  Silva (198),      Nestle Rowntree Fruit Pastil,200%,180.00000000,360,Mysore_South
1/5/2013,Herman  Williams (800), Nestle Fab,100%,435.00000000,435,Darjeeling_East
1/5/2013,Ruben  Nunez (566), Nestle Smarties Pop-Up,1900%,193.00000000,3667,Ahmedabad_West
1/5/2013,Beth  Tucker (822),       Nestle Rowntree Fruit Pastil,300%,437.00000000,1311,Pune_West
1/5/2013,Marian  Hill (731),        Nestle Toffee Crumble,200%,298.00000000,596,Trivandrum_South
1/5/2013,Carla  Mccormick (496), Nestle Smarties Pop-Up,100%,247.00000000,247,Varanasi_North
1/5/2013,Brooke  Horton (813),   Nestle Smarties Pop-Up,200%,271.00000000,542,Nainital_North
1/5/2013,Bethany  Pena (964), Nestle Rolo Potz,300%,297.00000000,891,Nagpur_West
1/6/2013,Rachel  Gomez (611),  Nestle Rolo Potz,200%,253.00000000,506,Delhi_North
